Date,Gauge,Level,Flood
30/03/2020,0,5,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,5,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,5,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,5,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,5,0
30/03/2020,0,3,0
30/03/2020,0,5,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,5,0
30/03/2020,0,4,0
30/03/2020,0,6,0
30/03/2020,0,5,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,5,0
30/03/2020,0,4,0
30/03/2020,0,5,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,13.11,3,0
30/03/2020,13.11,7,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,5,0
30/03/2020,0,4,0
30/03/2020,0,3,0
30/03/2020,0,4,0
30/03/2020,13.11,5,0
30/03/2020,26.21,10,0
30/03/2020,39.32,13,0
30/03/2020,131.06,22,1
30/03/2020,0,14,0
30/03/2020,0,10,0
30/03/2020,0,8,0
30/03/2020,0,7,0
30/03/2020,0,6,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,6,0
30/03/2020,0,6,0
30/03/2020,0,6,0
30/03/2020,0,6,0
30/03/2020,0,6,0
30/03/2020,0,6,0
30/03/2020,0,6,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,4,0
30/03/2020,0,4,0
30/03/2020,0,5,0
30/03/2020,0,5,0
30/03/2020,0,6,0
30/03/2020,0,6,0
30/03/2020,0,5,0
30/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,6,0
31/03/2020,0,5,0
31/03/2020,0,6,0
31/03/2020,0,7,0
31/03/2020,0,6,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,4,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,5,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,4,0
31/03/2020,0,5,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,5,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,5,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,5,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,5,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,52.43,14,0
31/03/2020,13.11,10,0
31/03/2020,13.11,7,0
31/03/2020,0,6,0
31/03/2020,0,5,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,52.43,14,0
31/03/2020,26.21,10,0
31/03/2020,13.11,7,0
31/03/2020,39.32,12,0
31/03/2020,0,9,0
31/03/2020,52.43,18,0
31/03/2020,39.32,14,0
31/03/2020,0,8,0
31/03/2020,0,8,0
31/03/2020,0,7,0
31/03/2020,0,7,0
31/03/2020,0,6,0
31/03/2020,0,6,0
31/03/2020,0,6,0
31/03/2020,0,6,0
31/03/2020,0,6,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,6,0
31/03/2020,0,6,0
31/03/2020,0,6,0
31/03/2020,0,6,0
31/03/2020,0,6,0
31/03/2020,0,6,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,5,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,3,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,4,0
31/03/2020,0,5,0
31/03/2020,0,4,0
31/03/2020,0,5,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,5,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,5,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,6,0
1/4/2020,0,5,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,2,0
1/4/2020,0,3,0
1/4/2020,0,5,0
1/4/2020,0,5,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,2,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,5,0
1/4/2020,0,5,0
1/4/2020,0,2,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,4,0
1/4/2020,0,5,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,2,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,2,0
1/4/2020,0,3,0
1/4/2020,0,3,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
1/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,4,0
2/4/2020,0,5,0
2/4/2020,0,5,0
2/4/2020,0,3,0
2/4/2020,0,3,0
2/4/2020,0,5,0
2/4/2020,0,3,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,3,0
2/4/2020,0,3,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,2,0
2/4/2020,0,4,0
2/4/2020,0,2,0
2/4/2020,0,4,0
2/4/2020,13.11,6,0
2/4/2020,0,4,0
2/4/2020,13.11,10,0
2/4/2020,0,9,0
2/4/2020,65.53,22,1
2/4/2020,26.21,11,0
2/4/2020,13.11,9,0
2/4/2020,39.32,14,0
2/4/2020,78.64,19,0
2/4/2020,13.11,10,0
2/4/2020,13.11,9,0
2/4/2020,13.11,8,0
2/4/2020,0,6,0
2/4/2020,13.11,9,0
2/4/2020,26.21,11,0
2/4/2020,39.32,16,0
2/4/2020,13.11,11,0
2/4/2020,26.21,15,0
2/4/2020,13.11,9,0
2/4/2020,39.32,16,0
2/4/2020,52.43,18,0
2/4/2020,26.21,12,0
2/4/2020,13.11,10,0
2/4/2020,0,8,0
2/4/2020,13.11,7,0
2/4/2020,0,5,0
2/4/2020,0,5,0
2/4/2020,0,5,0
2/4/2020,0,5,0
2/4/2020,0,6,0
2/4/2020,0,6,0
2/4/2020,0,6,0
2/4/2020,0,4,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,5,0
2/4/2020,0,6,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,13.11,7,0
2/4/2020,0,6,0
2/4/2020,0,5,0
2/4/2020,0,5,0
2/4/2020,0,5,0
2/4/2020,0,5,0
2/4/2020,0,5,0
2/4/2020,0,5,0
2/4/2020,0,2,0
2/4/2020,0,3,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,5,0
2/4/2020,0,3,0
2/4/2020,0,3,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,3,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,4,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,4,0
2/4/2020,0,2,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,5,0
2/4/2020,0,3,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,5,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,4,0
2/4/2020,0,3,0
2/4/2020,0,3,0
2/4/2020,0,4,0
